Imported from ls-q2d-8mm-P10-typeE-7x2L130-sample01.h5 hdf Network
  2135.166611 2783.194092 1886.144554 box dimensions in microns
117 5 76 59 5.000000 0.2014492975 0.370000
118 5 114 44 5.000000 0.0596080798 0.370000
119 5 116 118 5.000000 0.1475197441 0.370000
120 5 74 91 5.000000 0.2760863429 0.370000
121 5 51 61 5.000000 0.2733840206 0.370000
122 5 108 98 5.000000 0.1091975865 0.370000
123 5 79 43 5.000000 0.1348118621 0.370000
124 5 99 82 5.000000 0.0065680839 0.370000
125 5 111 57 5.000000 0.0170363823 0.370000
126 5 100 61 5.000000 0.1802965125 0.370000
127 5 81 78 5.000000 0.1192470532 0.370000
128 5 65 71 5.000000 0.0471053453 0.370000
129 5 38 90 5.000000 0.2666428214 0.370000
130 5 87 27 5.000000 0.1641698606 0.370000
131 5 34 106 5.000000 0.4377813682 0.370000
132 5 101 24 5.000000 0.5349270754 0.370000
133 5 95 35 5.000000 0.2467506662 0.370000
134 5 25 27 5.000000 0.0820849303 0.370000
135 5 94 32 5.000000 0.3755691852 0.370000
136 5 54 35 5.000000 0.1295564609 0.370000
137 5 26 68 5.000000 0.2405298253 0.370000
138 5 81 40 5.000000 0.1578680069 0.370000
139 5 109 119 5.000000 0.0744710319 0.370000
140 5 119 64 5.000000 0.0744710319 0.370000
141 5 99 93 5.000000 0.0642514192 0.370000
142 5 103 72 5.000000 0.0987326944 0.370000
143 5 103 114 5.000000 0.0911541236 0.370000
144 5 83 64 5.000000 0.3311114212 0.370000
145 5 44 43 5.000000 0.4002571010 0.370000
146 5 116 78 5.000000 0.1244211846 0.370000
147 5 105 36 5.000000 0.2687777346 0.370000
148 5 67 97 5.000000 0.1438834268 0.370000
149 5 101 120 5.000000 0.2026985800 0.370000
150 5 120 66 5.000000 0.2026985800 0.370000
151 5 65 73 5.000000 0.0584218576 0.370000
152 5 46 66 5.000000 0.2147571244 0.370000
153 5 105 19 5.000000 0.2007018446 0.370000
154 5 79 112 5.000000 0.3425453909 0.370000
155 5 76 86 5.000000 0.1371050519 0.370000
156 5 102 23 5.000000 0.7490058566 0.370000
157 5 113 21 5.000000 0.2757390807 0.370000
158 5 92 36 5.000000 0.2495507106 0.370000
  120 total number of nodes
name x y z
1 1000.000000 1225.166611 1050.000000
2 1845.000000 1713.027588 1156.144554
3 1780.000000 1600.444275 1156.144554
4 1065.000000 1337.749908 1050.000000
5 1195.000000 1337.749908 1050.000000
6 1715.000000 1713.027588 1156.144554
7 1260.000000 1450.333221 1050.000000
8 1390.000000 1450.333221 1050.000000
9 1195.000000 1562.916504 1050.000000
10 1650.000000 1600.444275 1156.144554
11 1585.000000 1487.860962 1156.144554
12 1585.000000 1713.027588 1156.144554
13 1455.000000 1337.749908 1050.000000
14 1390.000000 1225.166611 1050.000000
15 1585.000000 1337.749908 1050.000000
16 1130.000000 1600.444275 1156.144554
17 1065.000000 1487.860962 1156.144554
18 1195.000000 1713.027588 1156.144554
19 1195.000000 1112.583305 1050.000000
20 1455.000000 1938.194092 1156.144554
21 1065.000000 1713.027588 1156.144554
22 1520.000000 1375.277649 1156.144554
23 1650.000000 1450.333221 1050.000000
24 1455.000000 1487.860962 1156.144554
25 1845.000000 1938.194092 1156.144554
26 1195.000000 1788.083130 1050.000000
27 1780.000000 1825.610840 1156.144554
28 1325.000000 1788.083130 1050.000000
29 1130.000000 1375.277649 1156.144554
30 1585.000000 1262.694366 1156.144554
31 1520.000000 1150.111069 1156.144554
32 1715.000000 1262.694366 1156.144554
33 1650.000000 1225.166611 1050.000000
34 1585.000000 1112.583305 1050.000000
35 1195.000000 1262.694366 1156.144554
36 1325.000000 1037.527767 1156.144554
37 1455.000000 1112.583305 1050.000000
38 1715.000000 1562.916504 1050.000000
39 1260.000000 1375.277649 1156.144554
40 1455.000000 1713.027588 1156.144554
41 1325.000000 1487.860962 1156.144554
42 1195.000000 1487.860962 1156.144554
43 1130.000000 1900.666443 1050.000000
44 1065.000000 1788.083130 1050.000000
45 1585.000000 1037.527767 1156.144554
46 1455.000000 1037.527767 1156.144554
47 1715.000000 1037.527767 1156.144554
48 1455.000000 1788.083130 1050.000000
49 1585.000000 1938.194092 1156.144554
50 1585.000000 1788.083130 1050.000000
51 1650.000000 1675.499817 1050.000000
52 1650.000000 1900.666443 1050.000000
53 1585.000000 1562.916504 1050.000000
54 1260.000000 1225.166611 1050.000000
55 1000.000000 1150.111069 1156.144554
56 1390.000000 1000.000000 1050.000000
57 1130.000000 1150.111069 1156.144554
58 1650.000000 1825.610840 1156.144554
59 1390.000000 1825.610840 1156.144554
60 1065.000000 1562.916504 1050.000000
61 1715.000000 1788.083130 1050.000000
62 1650.000000 1375.277649 1156.144554
63 1325.000000 1713.027588 1156.144554
64 1845.000000 1262.694366 1156.144554
65 1000.000000 1375.277649 1156.144554
66 1390.000000 1150.111069 1156.144554
67 1065.000000 1037.527767 1156.144554
68 1130.000000 1675.499817 1050.000000
69 1130.000000 1825.610840 1156.144554
70 1130.000000 1450.333221 1050.000000
71 935.000000 1337.749908 1050.000000
72 1000.000000 1825.610840 1156.144554
73 1000.000000 1450.333221 1050.000000
74 1520.000000 1900.666443 1050.000000
75 1065.000000 1938.194092 1156.144554
76 1390.000000 1900.666443 1050.000000
77 1325.000000 1938.194092 1156.144554
78 1455.000000 1562.916504 1050.000000
79 1195.000000 1938.194092 1156.144554
80 1130.000000 1225.166611 1050.000000
81 1390.000000 1675.499817 1050.000000
82 1260.000000 1600.444275 1156.144554
83 1780.000000 1375.277649 1156.144554
84 1260.000000 1000.000000 1050.000000
85 1325.000000 1262.694366 1156.144554
86 1260.000000 1900.666443 1050.000000
87 1715.000000 1938.194092 1156.144554
88 1780.000000 1450.333221 1050.000000
89 1390.000000 1600.444275 1156.144554
90 1715.000000 1487.860962 1156.144554
91 1520.000000 1825.610840 1156.144554
92 1260.000000 1150.111069 1156.144554
93 1260.000000 1675.499817 1050.000000
94 1780.000000 1225.166611 1050.000000
95 1065.000000 1262.694366 1156.144554
96 1000.000000 1675.499817 1050.000000
97 1195.000000 1037.527767 1156.144554
98 1650.000000 1000.000000 1050.000000
99 1325.000000 1562.916504 1050.000000
100 1780.000000 1900.666443 1050.000000
101 1390.000000 1375.277649 1156.144554
102 1520.000000 1450.333221 1050.000000
103 935.000000 1788.083130 1050.000000
104 1715.000000 1337.749908 1050.000000
105 1325.000000 1112.583305 1050.000000
106 1520.000000 1000.000000 1050.000000
107 1780.000000 1675.499817 1050.000000
108 1780.000000 1000.000000 1050.000000
109 1845.000000 1037.527767 1156.144554
110 1325.000000 1337.749908 1050.000000
111 1065.000000 1112.583305 1050.000000
112 1260.000000 1825.610840 1156.144554
113 1000.000000 1600.444275 1156.144554
114 1000.000000 1900.666443 1050.000000
115 1130.000000 1000.000000 1050.000000
116 1520.000000 1600.444275 1156.144554
117 1845.000000 1487.860962 1156.144554
118 1520.000000 1675.499817 1050.000000
119 1780.000000 1150.111069 1156.144554
120 1455.000000 1262.694366 1156.144554
2 total number of boundary nodes
node	bctyp	press/flow	HD	PO2
1 2 5.233940 0.37 55. 1
2 2 3.598050 0.37 55. 1
